Student_ID,Math,Science,English,History,Computer,Average_Score,Category
STU0060,89,71,80,89,79,81.6,Above Average
STU0061,55,82,58,67,70,66.4,Below Average
STU0062,67,68,62,50,45,58.4,Below Average
STU0063,30,50,56,75,66,55.4,Below Average
STU0064,45,58,50,77,42,54.4,Below Average
STU0065,77,79,72,72,77,75.4,Above Average
STU0066,74,84,87,82,77,80.8,Above Average
STU0067,85,75,66,73,59,71.6,Above Average
STU0068,68,89,99,86,91,86.6,Above Average
STU0069,70,70,45,82,71,67.6,Below Average
STU0070,64,57,74,86,65,69.2,Below Average
STU0071,89,72,88,72,74,79.0,Above Average
STU0072,74,68,66,79,92,75.8,Above Average
STU0073,81,56,66,53,70,65.2,Below Average
STU0074,89,100,85,80,79,86.6,Above Average
STU0075,30,53,30,38,47,39.6,Below Average
STU0076,84,78,71,100,76,81.8,Above Average
STU0077,73,76,59,65,59,66.4,Below Average
STU0078,60,69,86,69,63,69.4,Below Average
STU0079,72,99,81,71,83,81.2,Above Average
STU0080,42,56,60,60,53,54.2,Below Average
STU0081,68,66,75,98,65,74.4,Above Average
STU0082,81,66,62,68,71,69.6,Below Average
STU0083,100,73,82,82,85,84.4,Above Average
STU0084,51,66,69,76,80,68.4,Below Average
STU0085,82,53,47,68,63,62.6,Below Average
STU0086,44,51,72,86,67,64.0,Below Average
STU0087,79,75,78,88,89,81.8,Above Average
STU0088,80,64,70,70,76,72.0,Above Average
STU0089,66,79,71,71,62,69.8,Below Average
STU0090,70,84,81,89,75,79.8,Above Average
STU0091,69,71,67,81,71,71.8,Above Average
STU0092,77,95,94,88,81,87.0,Above Average
STU0093,56,62,50,74,67,61.8,Below Average
STU0094,75,58,73,80,66,70.4,Above Average
STU0095,69,79,72,82,71,74.6,Above Average
STU0096,46,57,49,60,52,52.8,Below Average
STU0097,83,64,77,72,74,74.0,Above Average
STU0098,76,71,59,75,57,67.6,Below Average
STU0099,78,62,80,85,77,76.4,Above Average
STU0100,73,55,65,57,70,64.0,Below Average
STU0101,45,61,47,57,61,54.2,Below Average
STU0102,59,82,76,60,42,63.8,Below Average
STU0103,73,53,58,66,83,66.6,Below Average
STU0104,66,65,45,76,59,62.2,Below Average
STU0105,68,62,51,70,77,65.6,Below Average
STU0106,76,70,82,75,67,74.0,Above Average
STU0107,100,87,79,76,98,88.0,Above Average
STU0108,66,64,91,81,64,73.2,Above Average
STU0109,79,74,50,81,68,70.4,Above Average
STU0110,67,62,88,95,84,79.2,Above Average
STU0111,45,49,49,43,45,46.2,Below Average
STU0112,81,69,69,72,71,72.4,Above Average
STU0113,79,69,65,74,78,73.0,Above Average
STU0114,100,91,100,100,100,98.2,Above Average
STU0115,81,63,67,67,69,69.4,Below Average
STU0116,74,80,86,77,77,78.8,Above Average
STU0117,76,74,71,77,89,77.4,Above Average
STU0118,53,47,58,58,56,54.4,Below Average
STU0119,87,85,80,78,85,83.0,Above Average
STU0120,78,86,78,81,87,82.0,Above Average
STU0121,80,64,83,92,88,81.4,Above Average
STU0122,65,64,40,47,69,57.0,Below Average
STU0123,79,81,72,88,92,82.4,Above Average
STU0124,74,58,61,45,44,56.4,Below Average
STU0125,67,70,79,91,90,79.4,Above Average
STU0126,84,80,94,78,87,84.6,Above Average
STU0127,70,43,58,51,61,56.6,Below Average
STU0128,71,64,67,68,57,65.4,Below Average
STU0129,77,74,65,90,71,75.4,Above Average
STU0130,70,56,55,63,67,62.2,Below Average
STU0131,51,57,54,45,54,52.2,Below Average
STU0132,62,56,60,93,74,69.0,Below Average
STU0133,58,57,62,40,70,57.4,Below Average
STU0134,69,65,57,49,79,63.8,Below Average
STU0135,69,53,70,64,57,62.6,Below Average
STU0136,87,89,94,83,96,89.8,Above Average
STU0137,52,53,63,48,70,57.2,Below Average
STU0138,63,63,77,75,56,66.8,Below Average
STU0139,84,89,98,83,85,87.8,Above Average
STU0140,50,50,66,48,61,55.0,Below Average
STU0141,65,80,52,57,70,64.8,Below Average
STU0142,88,76,72,96,97,85.8,Above Average
STU0143,53,55,44,59,50,52.2,Below Average
STU0144,67,85,73,71,73,73.8,Above Average
STU0145,68,51,79,95,72,73.0,Above Average
STU0146,82,72,71,67,80,74.4,Above Average
STU0147,41,60,57,37,46,48.2,Below Average
STU0148,40,52,46,46,43,45.4,Below Average
STU0149,69,80,70,76,89,76.8,Above Average
STU0150,71,68,58,76,67,68.0,Below Average
STU0151,76,74,63,70,65,69.6,Below Average
STU0152,89,73,59,78,57,71.2,Above Average
STU0153,70,72,51,47,57,59.4,Below Average
STU0154,71,75,84,90,62,76.4,Above Average
STU0155,73,77,63,73,87,74.6,Above Average
STU0156,51,58,90,75,70,68.8,Below Average
STU0157,92,88,98,97,87,92.4,Above Average
STU0158,73,72,78,81,94,79.6,Above Average
STU0159,59,59,46,63,64,58.2,Below Average
STU0160,70,74,86,83,75,77.6,Above Average
STU0161,63,61,52,66,38,56.0,Below Average
STU0162,95,98,81,95,98,93.4,Above Average
STU0163,83,92,100,86,73,86.8,Above Average
STU0164,64,57,59,69,47,59.2,Below Average
STU0165,88,92,94,80,90,88.8,Above Average
STU0166,71,71,67,92,94,79.0,Above Average
STU0167,82,62,79,72,91,77.2,Above Average
STU0168,93,84,100,100,97,94.8,Above Average
STU0169,68,50,60,67,72,63.4,Below Average
STU0170,53,58,81,44,68,60.8,Below Average
STU0171,60,59,67,61,65,62.4,Below Average
STU0172,65,75,54,52,62,61.6,Below Average
STU0173,84,72,76,79,70,76.2,Above Average
STU0174,84,72,85,66,74,76.2,Above Average
STU0175,95,81,80,68,67,78.2,Above Average
STU0176,72,60,63,57,78,66.0,Below Average
STU0177,79,72,62,65,57,67.0,Below Average
STU0178,89,94,85,58,87,82.6,Above Average
STU0179,89,54,66,48,59,63.2,Below Average
STU0180,95,100,100,100,94,97.8,Above Average
STU0181,69,81,79,87,79,79.0,Above Average
STU0182,54,56,45,65,71,58.2,Below Average
STU0183,36,63,61,46,64,54.0,Below Average
STU0184,71,96,83,75,63,77.6,Above Average
STU0185,60,69,73,67,59,65.6,Below Average
STU0186,80,81,90,65,86,80.4,Above Average
STU0187,79,72,85,94,68,79.6,Above Average
STU0188,88,61,74,80,67,74.0,Above Average
STU0189,69,67,59,57,64,63.2,Below Average
STU0190,46,44,34,52,44,44.0,Below Average
STU0191,56,65,69,67,65,64.4,Below Average
STU0192,85,76,83,56,70,74.0,Above Average
STU0193,59,77,76,70,68,70.0,Above Average
STU0194,73,58,41,47,58,55.4,Below Average
STU0195,84,81,60,60,59,68.8,Below Average
STU0196,70,70,86,71,78,75.0,Above Average
STU0197,42,57,59,81,59,59.6,Below Average
STU0198,85,63,79,80,76,76.6,Above Average
STU0199,70,67,71,64,72,68.8,Below Average
STU0200,69,60,57,63,67,63.2,Below Average
